food name,weight(g),energy(kcal),carbohydrates(g),fat(g),protein(g)
ssalbab,210,334.8,73.71,0.45,5.76
kongnamulgug,400,22.53,1.26,1.42,1.82
vegetable croquettes,100,187.6,14.5,13.3,3.3
meat sauce spaghetti,100,129,21.1,3.06,4.42
dolnamul chojang,100,11,1.8,0.15,1.2
kimchi,38,8,1.55,0.08,0.63
stir-fried pork,100,160,9.9,10.03,10.9
cabbage,100,24,5.58,0.12,1.44
baechudoenjang-gug,700,121.53,11.04,3.63,13.96
ssamjang,28,40,6.51,1.22,1.36
chicken mayo rice,230,686,79.58,29.6,25.32
tteokbokki,400,560,120,6,14
sundae,170,269,27.51,8.52,18.97
Pepperoni Pizza,1piece,298,33.98,12.13,13.32
Cheese Pizza,1piece,237,26.08,10.1,10.6
tteogkkochi,1piece,140,23.65,3.99,2.3
